
122,บางกอกชีทเม็ททัล จำกัด (มหาชน),0107558000229,1430993002,9.67,54297699,-16.69,1677465847,15.60,388234672,968276400,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED,วันที่ 15 พ.ค. 2558,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
124,บิซิเนส ออนไลน์ จำกัด (มหาชน),0107546000407,693425953,13.94,273416140,5.92,1298575147,14.45,82050550,976460700,BUSINESS ONLINE PUBLIC COMPANY LIMITED,วันที่ 1 ธ.ค. 2546,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
125,บ้านปู เพาเวอร์ จำกัด (มหาชน),0107558000385,3797745000,50.05,2728327000,65.43,69138093000,20.74,31012020000,51545183000,BANPU POWER PUBLIC COMPANY LIMITED,วันที่ 10 ก.ย. 2558,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
128,บริทาเนีย จำกัด (มหาชน),0107564000294,4467053204,-2.14,1526412182,-0.66,16256948583,46.43,428570000,5390647400,BRITANIA PUBLIC COMPANY LIMITED,วันที่ 23 ก.ค. 2564,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
129,บ้านร็อคการ์เด้น จำกัด (มหาชน),0107548000200,77528922,-65.41,-9061261,-137.96,1294736405,-3.21,1231099916,1265692569,BAAN ROCK GARDEN PUBLIC COMPANY LIMITED,วันที่ 24 มี.ค. 2548,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
130,น้ำตาลบุรีรัมย์ จำกัด (มหาชน),0107556000523,1011868321,187.14,567061182,1062.63,5984624655,4.56,1055729798,2754384141,BURIRAM SUGAR PUBLIC COMPANY LIMITED,วันที่ 9 ส.ค. 2556,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
132,บางสะพานบาร์มิล จำกัด (มหาชน),0107547000702,614803145,-43.61,-48158031,-3918.31,1946631030,2.89,1121175000,1818466427,BANG SAPHAN BARMILL PUBLIC COMPANY LIMITED,วันที่ 9 ส.ค. 2547,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
133,บิวเดอสมาร์ท จำกัด (มหาชน),0107550000173,206019032,-23.44,-72273927,-142.65,1132478005,-6.56,213050620,495296214,BUILDERSMART PUBLIC COMPANY LIMITED,วันที่ 26 ต.ค. 2550,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
134,บางจาก ศรีราชา จำกัด (มหาชน),0107539000073,230557594000,-12.49,2250462000,-76.07,70009822000,-17.37,17110007246.71,27246139000,BANGCHAK SRIRACHA PUBLIC COMPANY LIMITED,วันที่ 12 มี.ค. 2539,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
135,บรุ๊คเคอร์ กรุ๊ป จำกัด (มหาชน),0107543000040,409111950,79.74,95020404,183.57,3608588724,6.64,1657854486.88,2905240698,THE BROOKER GROUP PUBLIC COMPANY LIMITED,วันที่ 21 ส.ค. 2543,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
136,เบทาโกร จำกัด (มหาชน),0107539000022,67583571894,-0.61,1678130593,-75.50,51294879209,-2.25,10000000000,27153331128,BATAGRO PUBLIC COMPANY LIMITED,วันที่ 8 ม.ค. 2539,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
137,บูติคนิวซิตี้ จำกัด (มหาชน),0107537001731,289468458,-4.71,27546531,31.46,542323570,2.27,250000000,489358372,BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED,วันที่ 19 พ.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
138,บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),0107536000421,4426654487,741.09,597397256,-90.91,164780392778,10.47,73525194648,70241736703,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,วันที่ 2 มิ.ย. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
140,บีที เวลธ์ อินดัสตรีส์ จำกัด (มหาชน),0107558000431,-636420784,-728.27,-769491604,-2330.99,554558561,-48.09,378000000,279712223,BT WEALTH INDUSTRIES PUBLIC COMPANY LIMITED,วันที่ 15 ต.ค. 2558,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
141,บางกอกสหประกันภัย จำกัด (มหาชน),0107537002044,1075761421,-11.13,140136615,143.91,2003185205,-7.25,412486570,886872536,BANGKOK UNION INSURANCE PUBLIC COMPANY LIMITED,วันที่ 8 มิ.ย. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
142,บลูเวนเจอร์ กรุ๊ป จำกัด (มหาชน),0107565000409,232274636,0.08,52475659,-30.05,695575809,112.54,225000000,642996077,BLUEVENTURE GROUP PUBLIC COMPANY LIMITED,วันที่ 1 ก.ค. 2565,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
143,เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน),0107548000161,1379733839,-0.23,113623570,161.25,4873143374,23.58,1710349193.5,3085764442,BETTER WORLD GREEN PUBLIC COMPANY LIMITED,วันที่ 21 มี.ค. 2548,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
145,หลักทรัพย์ บียอนด์ จำกัด (มหาชน),0107536001575,714095456,148.68,321000010,106.42,13160060856,5.38,29039614320,12915956494,BEYOND SECURITIES PUBLIC COMPANY LIMITED,วันที่ 15 ธ.ค. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
146,ซี เอ แซด (ประเทศไทย) จำกัด (มหาชน),0107561000145,3168169554,0.88,202474652,5.72,2268433844,6.66,147000000,934210074,CAZ (THAILAND) PUBLIC COMPANY LIMITED,วันที่ 3 พ.ค. 2561,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
147,คาราบาวกรุ๊ป จำกัด (มหาชน),0107557000268,1932594513,-20.71,1056384134,-32.50,11187644646,-9.43,1000000000,6259047713,คาราบาวกรุ๊ป จำกัด (มหาชน),วันที่ 8 ก.ค. 2557,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
